Item_id,Item_Level,Item_Type,Item_ZL,Item_LevelType,Item_job,Item_Sex,Maxhp,Maxmp,AttackType,minAttack,maxAttack,minMagic,maxMagic,Defense,MagicDefense,Item_Miss,Item_Hits,Attack_Fatal,Attck_F_damage,money,Item_En_name,Weapon_type,StrengThen_Next,Name,Item_up_type,upexp,strengthenLevel
20000,5,3,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_1,很好的宝石哦!,20001,一级石榴石,8,90,1
20001,10,3,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_1,很好的宝石哦!,20002,二级石榴石,8,270,2
20002,15,3,0,0,0,0,2169,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_2,很好的宝石哦!,20003,三级石榴石,8,540,3
20003,20,3,0,0,0,0,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_2,很好的宝石哦!,20004,四级石榴石,8,1080,4
20004,25,3,0,0,0,0,4266,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_3,很好的宝石哦!,20005,五级石榴石,8,2160,5
20005,30,3,0,0,0,0,5988,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_3,很好的宝石哦!,20006,六级石榴石,8,4320,6
20006,35,3,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_4,很好的宝石哦!,20007,七级石榴石,8,8640,7
20007,40,3,0,0,0,0,11781,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_4,很好的宝石哦!,20008,八级石榴石,8,17280,8
20008,45,3,0,0,0,0,16524,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_5,很好的宝石哦!,20009,九级石榴石,8,34560,9
20009,50,3,0,0,0,0,23175,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_5,很好的宝石哦!,20010,十级石榴石,8,69120,10
20010,55,3,0,0,0,0,32505,0,0,0,0,0,0,0,0,0,0,0,0,0,I011a_6,很好的宝石哦!,20011,十一级石榴石,8,138240,11
